ProteinID,ProteinGroupID,Fasta ID,NumSeq,wt2,rac2,,wt3,rac3
24069744,223,GL50803_137716,151,2753,305,,1274,470
24067168,359,GL50803_94440,98,14,235,,60,148
24064728,352,GL50803_100906,72,14,146,,19,81
24065153,1951,GL50803_10167,68,187,186,,170,223
24064054,1993,GL50803_93736,67,0,174,,29,101
24066337,180,GL50803_17478,65,0,182,,10,97
24063845,1172,GL50803_103059,65,55,175,,104,132
24067220,1515,GL50803_17121,64,678,395,,255,293
24063961,549,GL50803_113677,63,249,70,,274,106
24068850,1304,GL50803_40496,63,0,140,,60,125
24067610,1826,GL50803_102108,63,111,308,,131,253
24067772,1274,GL50803_9413,60,166,474,,141,351
24070184,1613,GL50803_113892,59,42,370,,64,260
24065321,494,GL50803_16804,57,55,146,,110,133
24065234,48,GL50803_14373,55,602,246,,259,222
24062562,162,GL50803_88765,55,408,324,,253,262
24063916,500,GL50803_92246,53,0,217,,48,145
24062733,866,GL50803_17265,53,69,120,,110,113
24048731,1380,GL50803_21118,51,48,309,,46,232
24062039,1920,GL50803_41212,50,353,15,,186,56
24069639,626,GL50803_16745,49,553,53,,274,86
24066228,1510,GL50803_16867,48,97,186,,110,204
750540,1002,sp|ALBU_BOVIN|,45,2698,7,,392,30
24065659,811,GL50803_17230,44,166,200,,72,184
24065023,1037,GL50803_113722,44,0,135,,4,65
24065726,250,GL50803_88082,41,14,204,,23,102
24063825,1133,GL50803_114609,41,145,35,,261,119
24063972,660,GL50803_93275,40,14,63,,10,75
24066487,687,GL50803_9909,40,28,35,,184,136
24069618,725,GL50803_16343,40,145,23,,182,92
24063527,844,GL50803_9062,40,55,272,,39,172
24065682,901,GL50803_93358,40,380,87,,174,124
24067278,1536,GL50803_4812,40,311,199,,215,183
24030633,672,GL50803_9183,39,7,50,,151,90
24065503,1296,GL50803_8496,39,55,316,,27,180
24070338,1412,GL50803_86676,39,69,207,,68,178
24067222,1516,GL50803_87039,39,0,90,,15,50
794501,347,sp|K2C1_HUMAN|,38,1017,67,,176,138
