ProteinGroupID,Fasta ID,NumSeq,wt_firstRun,wt_concentrated,rac_firstRun,Rac_concentrated,wt troph,rac trop,max
451,GL50803_100864,9,0,0,34,25,0,59,59
348,GL50803_100906,57,0,0,29,83,0,112,112
122,GL50803_10091,3,0,18,9,7,18,16,18
446,GL50803_100987,2,0,0,0,4,0,4,4
1059,GL50803_101138,32,0,0,11,52,0,63,63
570,GL50803_101212,11,0,0,11,22,0,33,33
54,GL50803_101534,2,0,0,0,3,0,3,3
953,GL50803_10167,64,0,18,111,123,18,234,234
865,GL50803_10181,10,0,0,3,21,0,24,24
168,GL50803_101810,20,0,0,17,26,0,43,43
139,GL50803_101955,4,0,0,3,8,0,11,11
1022,GL50803_102101,45,0,0,88,77,0,165,165
798,GL50803_102108,137,0,54,397,342,54,739,739
765,GL50803_10221,3,0,0,6,7,0,13,13
474,GL50803_10231,4,0,0,0,5,0,5,5
983,GL50803_10239,2,0,0,0,2,0,2,2
171,GL50803_102438,2,0,0,0,4,0,4,4
290,GL50803_102455,2,0,0,0,2,0,2,2
596,GL50803_10255,4,0,0,3,7,0,10,10
183,GL50803_103059,70,0,0,168,125,0,293,293
538,GL50803_10311,8,0,271,6,13,271,19,271
535,GL50803_103125,8,0,0,6,13,0,19,19
563,GL50803_103142,16,0,0,80,39,0,119,119
519,GL50803_10315,2,0,0,0,2,0,2,2
292,GL50803_103285,8,0,0,3,8,0,11,11
475,GL50803_103373,55,0,199,200,228,199,428,428
22,GL50803_103454,8,0,0,3,14,0,17,17
552,GL50803_103709,4,0,0,0,6,0,6,6
18,GL50803_103713,3,0,0,6,5,0,11,11
145,GL50803_103855,5,0,0,0,6,0,6,6
586,GL50803_103878,4,0,0,3,5,0,8,8
377,GL50803_10400,2,0,0,11,5,0,16,16
297,GL50803_104150,6,0,0,3,7,0,10,10
889,GL50803_104685,12,0,18,46,45,18,91,91
952,GL50803_10521,16,0,0,26,41,0,67,67
269,GL50803_10538,10,0,0,9,17,0,26,26
346,GL50803_10570,3,0,0,3,3,0,6,6
666,GL50803_10577,9,0,0,14,12,0,26,26
1073,GL50803_10608,2,0,0,3,1,0,4,4
192,GL50803_10675,2,0,0,0,2,0,2,2
154,GL50803_10698,17,0,0,31,31,0,62,62
965,GL50803_10705,2,0,0,0,4,0,4,4
381,GL50803_10711,2,0,0,0,4,0,4,4
207,GL50803_10778,59,0,0,223,134,0,357,357
787,GL50803_10802,2,0,0,0,3,0,3,3
705,GL50803_10822,2,0,0,3,3,0,6,6
737,GL50803_10856,4,0,0,3,5,0,8,8
26,GL50803_10870,2,0,0,0,2,0,2,2
472,GL50803_10885,5,0,0,0,7,0,7,7
524,GL50803_10971,4,0,0,0,5,0,5,5
480,GL50803_11100,7,0,0,6,10,0,16,16
234,GL50803_11118,14,0,90,9,21,90,30,90
370,GL50803_11125,14,0,0,37,35,0,72,72
485,GL50803_11170,3,0,0,0,3,0,3,3
678,GL50803_111886,3,0,0,0,3,0,3,3
280,"GL50803_111933,GL50803_112801,GL50803_111936",2,0,54,0,1,54,1,54
79,GL50803_111950,39,0,0,26,61,0,87,87
244,GL50803_112063,19,0,0,49,38,0,87,87
1056,"GL50803_112079,GL50803_103676",33,0,0,88,67,0,155,155
851,GL50803_112103,4,0,18,0,3,18,3,18
259,GL50803_11220,7,0,0,6,16,0,22,22
99,GL50803_112258,2,0,0,9,3,0,12,12
941,"GL50803_112304,GL50803_112312",20,0,0,63,46,0,109,109
456,GL50803_112408,6,0,0,0,7,0,7,7
509,GL50803_11247,2,0,90,6,2,90,8,90
339,GL50803_112518,7,0,0,9,9,0,18,18
1026,GL50803_112846,48,0,0,97,86,0,183,183
989,GL50803_112978,2,0,0,0,2,0,2,2
447,GL50803_11299,6,0,0,14,11,0,25,25
438,GL50803_113024,11,0,0,63,28,0,91,91
181,GL50803_113133,11,0,0,26,28,0,54,54
618,GL50803_113284,5,0,0,3,6,0,9,9
93,"GL50803_113450,GL50803_137606",2,0,36,0,1,36,1,36
837,GL50803_113456,6,0,0,0,8,0,8,8
341,GL50803_113531,2,0,0,3,2,0,5,5
24,GL50803_11359,2,0,0,11,4,0,15,15
320,GL50803_113622,3,0,0,3,4,0,7,7
574,GL50803_113673,2,0,0,0,3,0,3,3
572,GL50803_113677,42,0,0,66,76,0,142,142
47,GL50803_113722,21,0,0,11,26,0,37,37
291,GL50803_11380,2,0,0,0,2,0,2,2
602,GL50803_113892,61,0,0,217,174,0,391,391
729,GL50803_11390,59,0,0,191,153,0,344,344
1002,GL50803_114210,2,0,0,0,3,0,3,3
545,GL50803_114307,9,0,0,0,18,0,18,18
261,"GL50803_114442,GL50803_112519,GL50803_92983",4,0,0,3,4,0,7,7
184,GL50803_114497,7,0,0,3,11,0,14,14
968,GL50803_114498,11,0,0,17,30,0,47,47
141,GL50803_114609,14,0,90,6,16,90,22,90
238,GL50803_114623,9,0,0,17,10,0,27,27
180,GL50803_114626,3,0,0,3,3,0,6,6
720,GL50803_114776,16,0,0,20,20,0,40,40
689,GL50803_114777,24,0,0,66,54,0,120,120
834,GL50803_114787,74,748,344,291,288,1092,579,1092
52,GL50803_114885,3,0,0,3,3,0,6,6
577,GL50803_115052,19,0,0,17,28,0,45,45
368,GL50803_115159,6,0,0,9,8,0,17,17
188,"GL50803_115338,GL50803_115337",2,0,0,0,2,0,2,2
978,GL50803_11540,13,0,0,63,41,0,104,104
394,"GL50803_115478,GL50803_115479",8,0,0,9,10,0,19,19
4,GL50803_11613,3,0,0,3,4,0,7,7
789,GL50803_11640,2,0,0,3,4,0,7,7
779,GL50803_11654,75,935,597,394,254,1532,648,1532
739,GL50803_11683,5,0,0,9,7,0,16,16
617,GL50803_11684,7,0,0,17,9,0,26,26
128,GL50803_11720,12,0,0,37,30,0,67,67
