ProteinGroupID,Fasta ID,NumSeq,rac_troph,wt_troph,rac_encyst,wt_encyst
209,GL50803_137716,142,374,1597,412,1176
1819,GL50803_10167,66,211,153,92,118
1700,GL50803_102108,63,294,130,171,136
1408,GL50803_17121,61,421,413,262,297
342,GL50803_94440,59,107,14,66,15
47,GL50803_14373,55,225,316,244,340
1095,GL50803_103059,54,130,28,79,76
145,GL50803_88765,53,180,376,269,340
333,sp|K2C1_HUMAN|,52,192,989,87,599
1219,GL50803_40496,52,102,14,60,25
1057,GL50803_114609,51,115,283,177,317
1403,GL50803_16867,51,208,167,188,149
1498,GL50803_113892,50,308,65,195,55
1202,GL50803_9413,48,467,125,307,118
337,GL50803_100906,47,81,5,46,25
676,GL50803_16343,47,80,218,113,186
517,GL50803_113677,46,72,88,81,96
624,GL50803_9183,45,40,33,104,106
640,GL50803_9909,45,63,130,158,151
930,sp|ALBU_BOVIN|,45,80,269,170,388
583,GL50803_16745,44,71,293,81,214
1409,GL50803_87039,44,102,5,10,5
1789,GL50803_41212,44,32,181,61,126
1856,GL50803_93736,44,100,14,48,13
164,GL50803_17478,43,81,9,28,3
1290,GL50803_21118,43,290,37,165,45
725,GL50803_112103,42,97,334,247,277
1427,GL50803_4812,42,283,237,160,191
471,GL50803_92246,41,156,9,87,28
469,GL50803_16804,40,88,37,57,73
973,GL50803_17249,40,39,65,54,63
1382,GL50803_17570,40,78,135,164,201
1192,sp|K22E_HUMAN|,39,88,645,40,368
802,GL50803_17265,38,87,56,59,68
836,GL50803_93358,38,82,269,135,254
1806,"GL50803_112304,GL50803_112312",38,111,116,247,164
455,GL50803_15317,36,82,28,114,60
1693,GL50803_21505,36,110,42,80,78
486,GL50803_27310,35,10,42,56,96
781,GL50803_9062,35,230,46,174,23
887,GL50803_17063,35,30,125,117,161
963,GL50803_21628,35,129,241,110,146
975,GL50803_16318,35,0,0,98,8
475,GL50803_10311,34,114,334,231,282
574,GL50803_9593,34,139,28,54,20
784,GL50803_27925,34,41,111,106,103
1143,sp|K1C10_HUMAN|,34,129,757,69,413
1500,GL50803_96732,34,95,14,21,10
659,GL50803_11654,33,376,251,305,138
677,GL50803_137617,33,32,590,17,315
1390,GL50803_103373,33,212,121,303,86
1484,GL50803_23833,33,137,65,76,68
1737,GL50803_13864,33,87,102,112,93
60,GL50803_86511,32,17,33,79,86
547,GL50803_9861,32,130,260,120,227
713,GL50803_114787,32,242,228,314,113
894,GL50803_9719,32,212,56,146,76
510,GL50803_137618,31,55,529,39,280
724,GL50803_11953,31,100,37,56,35
750,GL50803_17230,31,175,116,126,55
893,sp|K1C9_HUMAN|,31,89,441,42,214
