ProteinID,ProteinGroupID,PROTINFER(ID_24279),PROTINFER(ID_24278),PROTINFER(ID_24277),PROTINFER(ID_24276),Fasta ID,CommonName,Mol.Wt.,pI,NumSeq,#Seq(ID_24279),#Ion(ID_24279),#U.Ion(ID_24279),SC(ID_24279),SC_Norm(ID_24279),#Seq(ID_24278),#Ion(ID_24278),#U.Ion(ID_24278),SC(ID_24278),SC_Norm(ID_24278),#Seq(ID_24277),#Ion(ID_24277),#U.Ion(ID_24277),SC(ID_24277),SC_Norm(ID_24277),#Seq(ID_24276),#Ion(ID_24276),#U.Ion(ID_24276),SC(ID_24276),SC_Norm(ID_24276)
24069744,233,*,*,*,*,GL50803_137716,,174782.88,4.4,137,128,137,137,296,296,30,31,31,56,1013,56,58,58,115,328,2,2,2,2,374
24067610,798,*,*,*,-,GL50803_102108,,206953.97,5.26,137,136,146,146,342,342,2,2,2,3,54,54,56,56,139,397,0,0,0,0,0
24068850,306,*,-,*,-,GL50803_40496,,553424.6,5.43,82,81,84,82,131,131,0,0,0,0,0,21,21,21,27,77,0,0,0,0,0
24067220,497,*,*,*,-,GL50803_17121,,74360.3,5.04,80,80,92,92,210,210,6,6,6,12,217,38,42,42,96,274,0,0,0,0,0
24065609,779,*,*,*,*,GL50803_11654,,33889.83,6.27,75,73,90,59,254,254,13,14,13,33,597,48,54,42,138,394,2,2,2,5,935
24068921,834,*,*,*,*,GL50803_114787,,32972.85,6.97,74,73,86,14,288,288,9,9,4,19,344,42,44,11,102,291,2,2,1,4,748
24067168,351,*,-,*,-,GL50803_94440,,629982.6,5.94,73,72,73,71,119,119,0,0,0,0,0,13,13,12,16,46,0,0,0,0,0
24067772,282,*,*,*,-,GL50803_9413,,50408.15,8.51,72,72,83,82,263,263,2,2,2,2,36,37,42,41,118,337,0,0,0,0,0
24067278,516,*,*,*,-,GL50803_4812,,30876.82,5.25,72,70,87,87,220,220,5,5,5,7,127,56,64,64,138,394,0,0,0,0,0
24070462,1044,*,*,*,-,GL50803_9719,,47004.07,7.94,72,70,84,84,208,208,1,1,1,1,18,44,50,50,106,302,0,0,0,0,0
24063845,183,*,-,*,-,GL50803_103059,,274108.56,5.27,70,65,70,69,125,125,0,0,0,0,0,38,38,38,59,168,0,0,0,0,0
24065659,881,*,*,*,-,GL50803_17230,,35632.37,6.48,66,65,74,74,163,163,2,2,2,2,36,41,45,45,88,251,0,0,0,0,0
24048731,392,*,-,*,-,GL50803_21118,,84578.72,6.62,65,64,76,45,197,197,0,0,0,0,0,36,38,17,84,240,0,0,0,0,0
794501,343,*,*,*,*,sp|K2C1_HUMAN|,KRT1,65886.48,8.16,64,33,36,34,89,89,54,57,52,149,2696,19,21,19,39,111,8,8,8,18,3366
24065153,953,*,*,*,-,GL50803_10167,,133025.75,4.85,64,63,66,66,123,123,1,1,1,1,18,23,24,24,39,111,0,0,0,0,0
24064754,460,*,*,*,-,GL50803_7796,,33935.73,6.11,61,61,68,37,179,179,6,7,6,10,181,27,28,16,67,191,0,0,0,0,0
24070184,602,*,-,*,-,GL50803_113892,,84547.69,6.99,61,60,70,39,174,174,0,0,0,0,0,35,39,18,76,217,0,0,0,0,0
24062733,919,*,-,*,-,GL50803_17265,,302119.12,5.57,60,59,64,63,119,119,0,0,0,0,0,20,20,20,30,86,0,0,0,0,0
24066522,207,*,-,*,-,GL50803_10778,,111964.22,6.23,59,55,58,58,134,134,0,0,0,0,0,34,35,35,78,223,0,0,0,0,0
24063970,729,*,-,*,-,GL50803_11390,,85184.27,4.45,59,58,64,63,153,153,0,0,0,0,0,33,34,33,67,191,0,0,0,0,0
24064728,348,*,-,*,-,GL50803_100906,,622996.4,5.48,57,57,57,56,83,83,0,0,0,0,0,8,8,8,10,29,0,0,0,0,0
24065234,43,*,*,*,-,GL50803_14373,,79512.56,8.36,56,55,62,62,137,137,8,8,8,11,199,25,25,25,50,143,0,0,0,0,0
24070199,591,*,*,*,-,GL50803_23833,,87504.34,6.07,56,54,57,57,135,135,1,1,1,1,18,27,27,27,55,157,0,0,0,0,0
24069483,475,*,*,*,-,GL50803_103373,,42910.44,8.81,55,55,67,1,228,228,7,7,1,11,199,28,29,1,70,200,0,0,0,0,0
24065321,526,*,-,*,-,GL50803_16804,,262003.9,5.77,55,54,54,53,109,109,0,0,0,0,0,23,23,23,40,114,0,0,0,0,0
24062947,846,*,*,*,-,GL50803_17327,,49672.49,5.22,55,54,64,64,224,224,2,2,2,4,72,23,24,24,64,183,0,0,0,0,0
24065503,295,*,-,*,-,GL50803_8496,,23902.42,8.12,53,52,66,66,187,187,0,0,0,0,0,37,43,43,130,371,0,0,0,0,0
24070338,416,*,-,*,-,GL50803_86676,,33657.15,6.28,50,48,58,58,133,133,0,0,0,0,0,26,31,31,66,188,0,0,0,0,0
24067404,1026,*,-,*,-,GL50803_112846,,120516.45,5.52,48,45,46,22,86,86,0,0,0,0,0,21,21,5,34,97,0,0,0,0,0
24063916,533,*,-,*,-,GL50803_92246,,151938.12,6.66,47,46,48,48,87,87,0,0,0,0,0,20,21,21,30,86,0,0,0,0,0
24063969,583,*,*,*,-,GL50803_15409,,57009.88,4.91,47,46,47,47,106,106,2,2,2,4,72,27,28,28,51,146,0,0,0,0,0
24067405,1022,*,-,*,-,GL50803_102101,,114615.49,5.34,45,43,43,19,77,77,0,0,0,0,0,18,18,2,31,88,0,0,0,0,0
24062562,159,*,*,*,-,GL50803_88765,,71632.94,5.26,44,42,45,45,85,85,2,2,2,4,72,24,25,25,45,128,0,0,0,0,0
24067119,419,*,-,*,-,GL50803_15567,,23748.72,5.57,44,44,47,47,131,131,0,0,0,0,0,24,25,25,56,160,0,0,0,0,0
24070275,848,*,-,*,-,GL50803_13864,,36990.15,5.01,43,41,47,47,105,105,0,0,0,0,0,18,19,19,35,100,0,0,0,0,0
24063961,572,*,-,*,-,GL50803_113677,,254968.69,4.68,42,42,46,46,76,76,0,0,0,0,0,15,17,17,23,66,0,0,0,0,0
24069460,717,*,-,*,-,GL50803_16353,,83652.78,5.33,41,39,41,41,86,86,0,0,0,0,0,17,17,17,26,74,0,0,0,0,0
24069634,663,*,-,*,-,GL50803_9593,,109217.16,5.18,40,40,42,42,82,82,0,0,0,0,0,17,17,17,26,74,0,0,0,0,0
24064311,675,*,*,*,-,GL50803_15411,,78005.9,4.6,40,39,44,44,97,97,1,1,1,1,18,22,22,22,36,103,0,0,0,0,0
24063527,903,*,-,*,-,GL50803_9062,,94389.25,8.1,40,40,45,31,107,107,0,0,0,0,0,21,24,18,41,117,0,0,0,0,0
3137085,1042,*,*,*,*,sp|K1C9_HUMAN|,KRT9,62129.44,5.19,40,20,21,21,42,42,37,38,37,93,1683,10,10,10,19,54,4,4,4,9,1683
24069929,79,*,-,*,-,GL50803_111950,,570319.1,5.28,39,37,38,37,61,61,0,0,0,0,0,8,9,9,9,26,0,0,0,0,0
534640,228,*,*,*,*,sp|K1C10_HUMAN|,KRT10,59518.66,5.13,39,23,24,21,45,45,35,38,33,99,1791,11,11,9,24,68,9,9,8,22,4115
24068594,718,*,*,*,-,"GL50803_136021,GL50803_101291,GL50803_136020",,50049.56,4.77,35,34,34,34,88,88,1,1,1,1,18,18,18,18,35,100,0,0,0,0,0
24065001,63,*,-,*,-,GL50803_14551,,33147.97,7.02,34,34,39,39,92,92,0,0,0,0,0,11,13,13,22,63,0,0,0,0,0
534659,273,*,*,*,*,sp|K22E_HUMAN|,KRT2,65865.32,8.07,34,15,15,13,40,40,33,34,29,72,1303,10,10,8,16,46,5,5,5,8,1496
24064980,1056,*,-,*,-,"GL50803_112079,GL50803_103676",,50552.26,4.98,33,32,36,36,67,67,0,0,0,0,0,15,17,17,31,88,0,0,0,0,0
24064130,561,*,*,*,-,GL50803_15097,,38584.18,6.41,32,31,37,37,98,98,1,1,1,2,36,14,16,16,36,103,0,0,0,0,0
24066708,1059,*,-,*,-,GL50803_101138,,578219.9,5.21,32,32,34,33,52,52,0,0,0,0,0,4,4,3,4,11,0,0,0,0,0
24069898,756,*,*,*,-,GL50803_98054,,43437.78,5.51,31,31,33,33,79,79,1,1,1,1,18,16,16,16,33,94,0,0,0,0,0
24069618,793,*,-,*,-,GL50803_16343,,100583.6,5.31,31,30,32,32,58,58,0,0,0,0,0,9,9,9,12,34,0,0,0,0,0
24063506,869,*,-,*,-,GL50803_96670,,147963.81,7.52,31,31,34,34,74,74,0,0,0,0,0,18,18,18,35,100,0,0,0,0,0
24062992,932,*,*,*,-,GL50803_16636,,24594.77,5.43,31,29,34,34,74,74,1,1,1,1,18,23,28,28,49,140,0,0,0,0,0
24069907,66,*,-,*,-,GL50803_21411,,221780.69,8.14,30,29,29,28,57,57,0,0,0,0,0,11,11,10,17,49,0,0,0,0,0
24063608,240,*,-,*,-,GL50803_5603,,105260.83,5.34,30,29,30,30,63,63,0,0,0,0,0,10,10,10,17,49,0,0,0,0,0
24069650,708,*,-,*,-,GL50803_21423,,122832.15,5.28,30,29,32,32,56,56,0,0,0,0,0,12,12,12,21,60,0,0,0,0,0
24067449,935,*,-,*,-,GL50803_9558,,23107.17,7.67,29,27,30,30,82,82,0,0,0,0,0,19,21,21,47,134,0,0,0,0,0
24066893,324,*,-,*,-,GL50803_9780,,26556.11,4.85,28,27,28,28,77,77,0,0,0,0,0,16,17,17,49,140,0,0,0,0,0
24066228,492,*,-,*,-,GL50803_16867,,96359.73,5.45,28,28,29,29,67,67,0,0,0,0,0,11,12,12,24,68,0,0,0,0,0
24070273,861,*,-,*,-,GL50803_9808,,45109.4,7.84,28,27,27,27,60,60,0,0,0,0,0,13,13,13,28,80,0,0,0,0,0
24066337,179,*,-,*,-,GL50803_17478,,601115.6,5.84,27,27,27,27,41,41,0,0,0,0,0,5,5,5,5,14,0,0,0,0,0
24067176,329,*,-,*,-,GL50803_16507,,98638.72,5.3,27,26,28,28,69,69,0,0,0,0,0,12,12,12,19,54,0,0,0,0,0
24064312,680,*,*,*,-,GL50803_15410,,31698.17,5.49,27,27,31,31,69,69,1,1,1,1,18,12,12,12,26,74,0,0,0,0,0
24065726,262,*,-,*,-,GL50803_88082,,114878.62,6.25,26,26,26,26,51,51,0,0,0,0,0,11,11,11,19,54,0,0,0,0,0
24068512,891,*,*,*,*,GL50803_17153,,35010.74,5.74,26,25,28,28,65,65,7,7,7,17,308,16,16,16,36,103,3,3,3,5,935
24062700,944,*,-,*,-,GL50803_15213,,69973.14,7.27,26,25,27,27,61,61,0,0,0,0,0,12,12,12,17,49,0,0,0,0,0
24067601,1034,*,-,*,-,GL50803_4410,,29827.66,5.37,26,26,31,31,64,64,0,0,0,0,0,16,18,18,42,120,0,0,0,0,0
24067386,51,*,*,*,-,GL50803_17249,,190521.06,4.95,25,24,25,25,40,40,1,1,1,1,18,8,8,8,11,31,0,0,0,0,0
24066467,723,*,-,*,-,GL50803_2562,,109783.07,5.44,25,25,26,26,44,44,0,0,0,0,0,8,8,8,14,40,0,0,0,0,0
24068922,835,*,-,*,-,GL50803_15106,,127678.03,4.73,25,25,25,25,40,40,0,0,0,0,0,9,9,9,14,40,0,0,0,0,0
24066779,850,*,-,*,-,GL50803_11953,,139327.66,6.7,25,25,25,25,54,54,0,0,0,0,0,10,10,10,17,49,0,0,0,0,0
24063882,116,*,-,*,-,GL50803_16425,,116475.31,5.95,24,24,25,25,35,35,0,0,0,0,0,5,5,5,6,17,0,0,0,0,0
24068819,373,*,-,*,-,GL50803_17105,,215413.73,5.68,24,24,26,26,41,41,0,0,0,0,0,8,9,9,13,37,0,0,0,0,0
24063039,616,*,*,*,-,GL50803_9861,,42712.26,9.68,24,22,23,22,44,44,1,1,1,2,36,12,12,11,21,60,0,0,0,0,0
24069668,689,*,-,*,-,GL50803_114777,,72714.83,8.72,24,24,24,3,54,54,0,0,0,0,0,10,10,1,23,66,0,0,0,0,0
24030633,725,*,-,*,-,GL50803_9183,,213748.23,8.47,24,24,26,26,36,36,0,0,0,0,0,5,5,5,7,20,0,0,0,0,0
24069626,813,*,-,*,-,GL50803_16720,,96047.05,4.51,24,24,24,24,53,53,0,0,0,0,0,7,7,7,10,29,0,0,0,0,0
24062999,934,*,-,*,-,GL50803_32399,,49182.5,6.18,24,23,24,24,57,57,0,0,0,0,0,10,10,10,15,43,0,0,0,0,0
24062040,939,*,-,*,-,GL50803_32999,,51467.44,4.67,24,24,26,26,55,55,0,0,0,0,0,8,9,9,15,43,0,0,0,0,0
24062842,357,*,-,*,-,GL50803_17342,,72495.6,8.32,23,23,23,3,48,48,0,0,0,0,0,9,9,0,20,57,0,0,0,0,0
24061925,710,*,-,*,-,GL50803_15591,,186026.16,4.61,23,23,24,24,32,32,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0
24065682,967,*,*,*,-,GL50803_93358,,97133.87,6.31,23,18,18,18,29,29,7,7,7,14,253,9,9,9,15,43,0,0,0,0,0
24064054,986,*,-,*,-,GL50803_93736,,523070.94,5.97,23,23,23,23,32,32,0,0,0,0,0,4,4,4,6,17,0,0,0,0,0
24066582,105,*,-,*,-,GL50803_9489,,26142.53,9.49,22,22,24,24,60,60,0,0,0,0,0,9,9,9,16,46,0,0,0,0,0
