ProteinID,ProteinGroupID,PROTINFER(ID_24400),PROTINFER(ID_24399),PROTINFER(ID_24398),PROTINFER(ID_24397),Fasta ID,CommonName,Mol.Wt.,pI,NumSeq,#Seq(ID_24400),#Ion(ID_24400),#U.Ion(ID_24400),SC(ID_24400),SC_Norm(ID_24400),#Seq(ID_24399),#Ion(ID_24399),#U.Ion(ID_24399),SC(ID_24399),SC_Norm(ID_24399),#Seq(ID_24398),#Ion(ID_24398),#U.Ion(ID_24398),SC(ID_24398),SC_Norm(ID_24398),#Seq(ID_24397),#Ion(ID_24397),#U.Ion(ID_24397),SC(ID_24397),SC_Norm(ID_24397)
24069744,223,*,*,*,*,GL50803_137716,,174782.88,4.4,151,116,130,130,470,470,88,94,94,267,305,124,149,149,659,1274,82,89,89,398,2753
24067168,359,*,*,*,*,GL50803_94440,,629982.6,5.94,98,58,60,59,148,148,91,97,95,205,235,19,20,20,31,60,2,2,2,2,14
24064728,352,*,*,*,*,GL50803_100906,,622996.4,5.48,72,44,46,45,81,81,67,71,70,128,146,7,7,7,10,19,2,2,2,2,14
24065153,1951,*,*,*,*,GL50803_10167,,133025.75,4.85,68,62,74,74,223,223,53,63,63,163,186,34,36,36,88,170,14,15,15,27,187
24064054,1993,*,*,*,-,GL50803_93736,,523070.94,5.97,67,45,47,47,101,101,64,67,67,152,174,6,6,6,15,29,0,0,0,0,0
24066337,180,*,*,*,-,GL50803_17478,,601115.6,5.84,65,36,36,36,97,97,61,67,67,159,182,4,4,4,5,10,0,0,0,0,0
24063845,1172,*,*,*,*,GL50803_103059,,274108.56,5.27,65,48,51,50,132,132,58,62,61,153,175,23,23,23,54,104,3,3,3,8,55
24067220,1515,*,*,*,*,GL50803_17121,,74360.3,5.04,64,53,66,66,293,293,54,74,74,345,395,25,29,29,132,255,22,24,24,98,678
24063961,549,*,*,*,*,GL50803_113677,,254968.69,4.68,63,43,47,47,106,106,26,31,31,61,70,45,54,54,142,274,16,17,17,36,249
24068850,1304,*,*,*,-,GL50803_40496,,553424.6,5.43,63,49,53,52,125,125,50,53,51,122,140,19,19,18,31,60,0,0,0,0,0
24067610,1826,*,*,*,*,GL50803_102108,,206953.97,5.26,63,52,57,57,253,253,59,69,69,269,308,25,26,26,68,131,10,10,10,16,111
24067772,1274,*,*,*,*,GL50803_9413,,50408.15,8.51,60,52,67,64,351,351,53,78,73,414,474,14,19,19,73,141,8,11,11,24,166
24070184,1613,*,*,*,*,GL50803_113892,,84547.69,6.99,59,49,62,33,260,260,54,76,40,323,370,9,11,4,33,64,3,3,1,6,42
24065321,494,*,*,*,*,GL50803_16804,,262003.9,5.77,57,42,47,46,133,133,47,49,48,128,146,22,22,22,57,110,5,5,5,8,55
24065234,48,*,*,*,*,GL50803_14373,,79512.56,8.36,55,46,54,54,222,222,54,67,67,215,246,26,29,29,134,259,16,17,17,87,602
24062562,162,*,*,*,*,GL50803_88765,,71632.94,5.26,55,48,62,62,262,262,49,64,64,283,324,30,34,34,131,253,20,21,21,59,408
24063916,500,*,*,*,-,GL50803_92246,,151938.12,6.66,53,42,46,46,145,145,48,55,55,190,217,10,10,10,25,48,0,0,0,0,0
24062733,866,*,*,*,*,GL50803_17265,,302119.12,5.57,53,42,47,46,113,113,43,48,47,105,120,19,20,20,57,110,6,6,6,10,69
24048731,1380,*,*,*,*,GL50803_21118,,84578.72,6.62,51,42,53,24,232,232,49,66,30,270,309,8,9,2,24,46,3,3,1,7,48
24062039,1920,*,*,*,*,GL50803_41212,,149291.94,4.79,50,29,30,30,56,56,8,8,8,13,15,37,41,40,96,186,23,24,23,51,353
24069639,626,*,*,*,*,GL50803_16745,,115967.61,4.6,49,33,34,34,86,86,17,18,18,46,53,38,40,40,142,274,26,27,27,80,553
24066228,1510,*,*,*,*,GL50803_16867,,96359.73,5.45,48,42,48,48,204,204,39,47,47,163,186,18,19,19,57,110,6,6,6,14,97
750540,1002,*,*,*,*,sp|ALBU_BOVIN|,,69293.41,5.82,45,11,11,9,30,30,4,5,5,6,7,31,37,29,203,392,40,53,44,390,2698
24065659,811,*,*,*,*,GL50803_17230,,35632.37,6.48,44,36,44,44,184,184,37,49,49,175,200,11,11,11,37,72,9,9,9,24,166
24065023,1037,*,*,*,-,GL50803_113722,,425812.34,5.95,44,29,30,30,65,65,43,45,45,118,135,2,2,2,2,4,0,0,0,0,0
24065726,250,*,*,*,*,GL50803_88082,,114878.62,6.25,41,26,30,30,102,102,41,51,51,178,204,6,6,6,12,23,2,2,2,2,14
24063825,1133,*,*,*,*,GL50803_114609,,138928.88,6.5,41,32,35,35,119,119,16,17,17,31,35,28,32,32,135,261,8,8,8,21,145
24063972,660,*,*,*,*,GL50803_93275,,315364.53,6.03,40,34,35,35,75,75,31,33,33,55,63,4,4,4,5,10,1,1,1,2,14
24066487,687,*,*,*,*,GL50803_9909,,97658.64,6.31,40,36,41,41,136,136,11,11,11,31,35,26,28,28,95,184,3,3,3,4,28
24069618,725,*,*,*,*,GL50803_16343,,100583.6,5.31,40,35,37,37,92,92,10,11,11,20,23,28,29,29,94,182,12,12,12,21,145
24063527,844,*,*,*,*,GL50803_9062,,94389.25,8.1,40,32,44,38,172,172,40,59,52,238,272,6,7,4,20,39,2,2,2,8,55
24065682,901,*,*,*,*,GL50803_93358,,97133.87,6.31,40,31,35,35,124,124,29,32,32,76,87,20,22,22,90,174,15,15,15,55,380
24067278,1536,*,*,*,*,GL50803_4812,,30876.82,5.25,40,33,45,45,183,183,38,52,52,174,199,19,24,24,111,215,17,19,19,45,311
24030633,672,*,*,*,*,GL50803_9183,,213748.23,8.47,39,31,37,37,90,90,21,25,25,44,50,21,24,24,78,151,1,1,1,1,7
24065503,1296,*,*,*,*,GL50803_8496,,23902.42,8.12,39,27,40,40,180,180,39,56,56,276,316,4,4,4,14,27,3,3,3,8,55
24070338,1412,*,*,*,*,GL50803_86676,,33657.15,6.28,39,34,42,42,178,178,38,51,51,181,207,12,12,12,35,68,5,5,5,10,69
24067222,1516,*,*,*,-,GL50803_87039,,341101.75,6.08,39,28,30,30,50,50,34,38,38,79,90,7,7,7,8,15,0,0,0,0,0
794501,347,*,*,*,*,sp|K2C1_HUMAN|,KRT1,65886.48,8.16,38,28,33,29,138,138,17,19,17,59,67,19,22,20,91,176,30,33,28,147,1017
24066779,779,*,*,*,*,GL50803_11953,,139327.66,6.7,38,24,25,25,87,87,38,39,39,155,177,6,6,6,15,29,1,1,1,3,21
24064271,49,*,*,*,-,GL50803_39312,,539723.6,5.11,37,21,21,21,41,41,33,34,34,65,74,2,2,2,7,14,0,0,0,0,0
24065609,710,*,*,*,*,GL50803_11654,,33889.83,6.27,37,30,38,22,300,300,30,42,27,201,230,18,22,15,77,149,14,15,12,49,339
