ProteinID,ProteinGroupID,PROTINFER(ID_24332),PROTINFER(ID_24331),PROTINFER(ID_24330),PROTINFER(ID_24329),Fasta ID,CommonName,Mol.Wt.,pI,NumSeq,#Seq(ID_24332),#Ion(ID_24332),#U.Ion(ID_24332),SC(ID_24332),SC_Norm(ID_24332),#Seq(ID_24331),#Ion(ID_24331),#U.Ion(ID_24331),SC(ID_24331),SC_Norm(ID_24331),#Seq(ID_24330),#Ion(ID_24330),#U.Ion(ID_24330),SC(ID_24330),SC_Norm(ID_24330),#Seq(ID_24329),#Ion(ID_24329),#U.Ion(ID_24329),SC(ID_24329),SC_Norm(ID_24329)
24069744,209,*,*,*,*,GL50803_137716,,174782.88,4.4,142,105,125,125,328,374,73,85,85,344,1597,107,135,135,412,412,94,112,112,467,1176
24065153,1819,*,*,*,*,GL50803_10167,,133025.75,4.85,66,62,73,73,185,211,17,18,18,33,153,40,43,43,92,92,24,25,25,47,118
24067610,1700,*,*,*,*,GL50803_102108,,206953.97,5.26,63,60,75,75,258,294,13,13,13,28,130,54,59,59,171,171,21,21,21,54,136
24067220,1408,*,*,*,*,GL50803_17121,,74360.3,5.04,61,57,80,80,369,421,22,25,25,89,413,48,67,67,262,262,22,27,27,118,297
24067168,342,*,*,*,*,GL50803_94440,,629982.6,5.94,59,48,48,48,94,107,2,2,2,3,14,37,37,37,66,66,5,5,5,6,15
24065234,47,*,*,*,*,GL50803_14373,,79512.56,8.36,55,46,57,57,197,225,20,21,21,68,316,53,66,66,244,244,23,25,25,135,340
24063845,1095,*,*,*,*,GL50803_103059,,274108.56,5.27,54,51,54,52,114,130,3,3,3,6,28,36,36,35,79,79,13,13,12,30,76
24062562,145,*,*,*,*,GL50803_88765,,71632.94,5.26,53,40,53,53,158,180,21,23,23,81,376,48,66,66,269,269,28,35,35,135,340
794501,333,*,*,*,*,sp|K2C1_HUMAN|,KRT1,65886.48,8.16,52,40,52,47,168,192,35,47,39,213,989,23,28,26,87,87,35,47,39,238,599
24068850,1219,*,*,*,*,GL50803_40496,,553424.6,5.43,52,46,48,46,89,102,3,3,3,3,14,34,35,34,60,60,8,8,8,10,25
24063825,1057,*,*,*,*,GL50803_114609,,138928.88,6.5,51,35,40,40,101,115,20,24,24,61,283,46,59,59,177,177,27,33,33,126,317
24066228,1403,*,*,*,*,GL50803_16867,,96359.73,5.45,51,44,55,55,182,208,15,16,16,36,167,45,57,57,188,188,17,19,19,59,149
24070184,1498,*,*,*,*,GL50803_113892,,84547.69,6.99,50,48,64,32,270,308,6,6,2,14,65,42,53,26,195,195,7,7,2,22,55
24067772,1202,*,*,*,*,GL50803_9413,,50408.15,8.51,48,47,73,68,409,467,11,12,12,27,125,41,62,57,307,307,11,13,13,47,118
24064728,337,*,*,*,*,GL50803_100906,,622996.4,5.48,47,43,43,42,71,81,1,1,1,1,5,28,28,28,46,46,6,6,5,10,25
24069618,676,*,*,*,*,GL50803_16343,,100583.6,5.31,47,36,40,40,70,80,20,20,20,47,218,44,49,49,113,113,23,23,23,74,186
24063961,517,*,*,*,*,GL50803_113677,,254968.69,4.68,46,27,28,28,63,72,11,11,11,19,88,37,40,40,81,81,18,18,18,38,96
24030633,624,*,*,*,*,GL50803_9183,,213748.23,8.47,45,17,19,19,35,40,4,4,4,7,33,37,41,41,104,104,21,21,21,42,106
24066487,640,*,*,*,*,GL50803_9909,,97658.64,6.31,45,21,23,23,55,63,12,12,12,28,130,44,53,53,158,158,20,21,21,60,151
750540,930,*,*,*,*,sp|ALBU_BOVIN|,,69293.41,5.82,45,26,29,26,70,80,18,21,18,58,269,39,50,43,170,170,33,39,32,154,388
24069639,583,*,*,*,*,GL50803_16745,,115967.61,4.6,44,29,31,31,62,71,22,23,23,63,293,32,35,35,81,81,30,30,30,85,214
24067222,1409,*,*,*,*,GL50803_87039,,341101.75,6.08,44,44,47,47,89,102,1,1,1,1,5,9,9,9,10,10,2,2,2,2,5
24062039,1789,*,*,*,*,GL50803_41212,,149291.94,4.79,44,17,18,18,28,32,20,20,20,39,181,32,33,33,61,61,23,24,24,50,126
24064054,1856,*,*,*,*,GL50803_93736,,523070.94,5.97,44,40,45,45,88,100,3,3,3,3,14,28,29,29,48,48,4,4,4,5,13
24066337,164,*,*,*,*,GL50803_17478,,601115.6,5.84,43,38,42,42,71,81,2,2,2,2,9,22,22,22,28,28,1,1,1,1,3
24048731,1290,*,=,*,*,GL50803_21118,,84578.72,6.62,43,41,54,22,254,290,4,4,0,8,37,36,46,19,165,165,6,6,1,18,45
24065644,725,*,*,*,*,GL50803_112103,,64131.7,6.11,42,25,31,31,85,97,12,15,15,72,334,41,55,55,247,247,18,23,23,110,277
24067278,1427,*,*,*,*,GL50803_4812,,30876.82,5.25,42,40,57,57,248,283,14,17,17,51,237,33,50,50,160,160,20,25,25,76,191
24063916,471,*,*,*,*,GL50803_92246,,151938.12,6.66,41,37,45,45,137,156,1,1,1,2,9,31,35,35,87,87,6,6,6,11,28
24065321,469,*,*,*,*,GL50803_16804,,262003.9,5.77,40,30,31,30,77,88,4,4,4,8,37,31,31,30,57,57,15,15,15,29,73
24067386,973,*,*,*,*,GL50803_17249,,190521.06,4.95,40,23,23,23,34,39,10,10,10,14,65,30,31,31,54,54,15,15,15,25,63
24067245,1382,*,*,*,*,GL50803_17570,,99626.26,6.13,40,26,28,28,68,78,10,10,10,29,135,37,45,45,164,164,21,22,22,80,201
534659,1192,*,*,*,*,sp|K22E_HUMAN|,KRT2,65865.32,8.07,39,26,27,22,77,88,35,40,32,139,645,12,13,11,40,40,31,35,27,146,368
24062733,802,*,*,*,*,GL50803_17265,,302119.12,5.57,38,33,35,35,76,87,8,8,8,12,56,34,34,34,59,59,13,13,13,27,68
24065682,836,*,*,*,*,GL50803_93358,,97133.87,6.31,38,26,30,30,72,82,13,16,16,58,269,36,45,45,135,135,20,23,23,101,254
24064032,1806,*,*,*,*,"GL50803_112304,GL50803_112312",,49104.85,8.62,38,24,30,30,97,111,9,9,9,25,116,37,57,57,247,247,15,20,20,65,164
24067481,455,*,*,*,*,GL50803_15317,,169596.8,4.69,36,28,32,32,72,82,4,4,4,6,28,32,38,38,114,114,7,7,7,24,60
24070245,1693,*,*,*,*,GL50803_21505,,95243.17,6.27,36,35,39,37,96,110,5,5,5,9,42,28,31,29,80,80,13,13,12,31,78
24065349,486,*,*,*,*,GL50803_27310,,65360.96,5.48,35,5,5,5,9,10,5,5,5,9,42,27,30,30,56,56,17,17,17,38,96
24063527,781,*,*,*,*,GL50803_9062,,94389.25,8.1,35,29,42,34,202,230,4,5,5,10,46,33,44,37,174,174,4,4,4,9,23
24036198,887,*,*,*,*,GL50803_17063,,131803.06,6.41,35,14,14,14,26,30,11,11,11,27,125,33,37,37,117,117,18,18,18,64,161
24064866,963,*,*,*,*,GL50803_21628,,42378.26,9.45,35,28,40,38,113,129,21,25,24,52,241,29,40,38,110,110,19,25,24,58,146
